	tissue_1	tissue_2	p-val	drug
140	sarcoma	ovary	0.2295498272979672	doxorubicin
141	sarcoma	pancreas	1.0	doxorubicin
142	sarcoma	prostate	0.027571722660586908	doxorubicin
143	sarcoma	sarcoma	1.0	doxorubicin
0	bladder	bladder	1.0	gamma
1	bladder	brain	1.0	gamma
2	bladder	breast	1.0	gamma
3	bladder	colon	1.0	gamma
4	bladder	hematological	0.33881228864090274	gamma
5	bladder	liver	0.5275058366776884	gamma
6	bladder	lung	1.0	gamma
7	bladder	melanoma	0.16194608604096675	gamma
8	bladder	ovary	1.0	gamma
9	bladder	pancreas	1.0	gamma
10	bladder	prostate	0.8622789834565106	gamma
11	bladder	sarcoma	1.0	gamma
12	brain	bladder	1.0	gamma
13	brain	brain	1.0	gamma
14	brain	breast	1.0	gamma
15	brain	colon	0.7081872114108336	gamma
16	brain	hematological	0.10585793418485227	gamma
17	brain	liver	0.1915768643948179	gamma
18	brain	lung	1.0	gamma
19	brain	melanoma	0.05344551428134114	gamma
20	brain	ovary	1.0	gamma
21	brain	pancreas	0.36597807922262227	gamma
22	brain	prostate	0.32071412752085854	gamma
23	brain	sarcoma	0.6328735647374703	gamma
24	breast	bladder	1.0	gamma
25	breast	brain	1.0	gamma
26	breast	breast	1.0	gamma
27	breast	colon	1.0	gamma
28	breast	hematological	1.0	gamma
29	breast	liver	1.0	gamma
30	breast	lung	1.0	gamma
31	breast	melanoma	1.0	gamma
32	breast	ovary	1.0	gamma
33	breast	pancreas	1.0	gamma
34	breast	prostate	1.0	gamma
35	breast	sarcoma	1.0	gamma
36	colon	bladder	1.0	gamma
37	colon	brain	0.7081872114108336	gamma
38	colon	breast	1.0	gamma
39	colon	colon	1.0	gamma
40	colon	hematological	1.0	gamma
41	colon	liver	1.0	gamma
42	colon	lung	1.0	gamma
43	colon	melanoma	1.0	gamma
44	colon	ovary	1.0	gamma
45	colon	pancreas	1.0	gamma
46	colon	prostate	1.0	gamma
47	colon	sarcoma	1.0	gamma
48	hematological	bladder	0.33881228864090274	gamma
49	hematological	brain	0.10585793418485227	gamma
50	hematological	breast	1.0	gamma
51	hematological	colon	1.0	gamma
52	hematological	hematological	1.0	gamma
53	hematological	liver	1.0	gamma
54	hematological	lung	1.0	gamma
55	hematological	melanoma	1.0	gamma
56	hematological	ovary	1.0	gamma
57	hematological	pancreas	1.0	gamma
58	hematological	prostate	1.0	gamma
59	hematological	sarcoma	1.0	gamma
60	liver	bladder	0.5275058366776884	gamma
61	liver	brain	0.1915768643948179	gamma
62	liver	breast	1.0	gamma
63	liver	colon	1.0	gamma
64	liver	hematological	1.0	gamma
65	liver	liver	1.0	gamma
66	liver	lung	1.0	gamma
67	liver	melanoma	1.0	gamma
68	liver	ovary	1.0	gamma
69	liver	pancreas	1.0	gamma
70	liver	prostate	1.0	gamma
71	liver	sarcoma	1.0	gamma
72	lung	bladder	1.0	gamma
73	lung	brain	1.0	gamma
74	lung	breast	1.0	gamma
75	lung	colon	1.0	gamma
76	lung	hematological	1.0	gamma
77	lung	liver	1.0	gamma
78	lung	lung	1.0	gamma
79	lung	melanoma	1.0	gamma
80	lung	ovary	1.0	gamma
81	lung	pancreas	1.0	gamma
82	lung	prostate	1.0	gamma
83	lung	sarcoma	1.0	gamma
84	melanoma	bladder	0.16194608604096675	gamma
85	melanoma	brain	0.05344551428134114	gamma
86	melanoma	breast	1.0	gamma
87	melanoma	colon	1.0	gamma
88	melanoma	hematological	1.0	gamma
89	melanoma	liver	1.0	gamma
